canonical_smiles,BindingDB Reactant_set_id,bioactivity_class,pIC50_norm
CC(C)(C)c1cc[n+](CCC[n+]2ccc(cc2)C(C)(C)C)cc1,50919569,inactive,4.853871964321762
O=C(CCCCC1CCSS1)NCCNc1c2CCCCc2nc2ccccc12,17492,active,7.013228265733755
CC(C)Cc1cc(N)c2c(cc(nc2n1)-c1ccccc1)C(F)(F)F,51183377,inactive,4.719194071606333
COc1ccccc1CN(C)Cc1ccc(cc1)-c1cc2cc(OC)c(OC)cc2oc1=O,50394650,active,7.2076083105017466
Clc1ccc2c(NCCCNC(=O)CCCC[C@@H]3CCSS3)c3CCCCc3nc2c1,50698674,active,9.638272163982407
COc1ccccc1CN1CCCCCC(=O)N(C)CCCCCCCCN(C)C(=O)CCCCCN(Cc2ccccc2OC)Cc2ccc(cc2)-c2ccc(C1)cc2,51032935,inactive,4.270001452716577
Oc1cc(O)cc(Oc2c(O)cc(O)c3Oc4cc(O)cc(O)c4Oc23)c1,559214,inactive,4.345823458122039
O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2CCCCc2nc2ccccc12,50577888,active,10.0
CCCCCCCCCCCCNc1c2CCCCc2nc2ccc(OC)cc12,50601920,active,6.0
CC(C)c1ccc(NC(=O)OCC2CCCN(Cc3ccccc3)C2)cc1,51397453,inactive,4.82102305270683
CCCCCCCNC(=O)Oc1ccc2CC3N(CCC)CC[C@@]3(C)c2c1,50763667,active,7.031517051446065
O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2[nH]ccc2c1,51239550,active,7.886056647693163
COc1cccc(CN2CCC(CC2)\C=C2/Cc3cccc(OC)c3C2=O)c1,50502604,inactive,4.915245036820646
COc1ccc(NCC(=O)Nc2ccc3oc(=O)ccc3c2)cc1,51297473,active,7.259637310505756
CC1(CO)[C@@H](O)CC[C@@]2(C)C1C[C@H](O)[C@@]1(C)Oc3cc(oc(=O)c3C(=O)C21)-c1ccc(Cl)nc1,50159842,inactive,4.096910013008056
CCOCCN1CCN(CCC(=O)Nc2nc3c(C)cccc3s2)CC1,51470067,inactive,4.697236291527018
N#Cc1cc2c(cn1)[nH]c1ncc(cc21)-c1ccc(CN2CCOCC2)cc1,50347429,inactive,4.876148359032914
COC(=O)c1ccccc1C[n+]1ccc(CC2Cc3cc(OC)c(OC)cc3C2=O)c(c1)C(=O)Oc1c(Cl)cc(Cl)cc1Cl,51025449,active,7.161150909262744
CN(CCOCCNC(=S)Nc1cccc2ccccc12)Cc1ccccc1,50578122,inactive,5.0
COc1ccc(cc1)C1N(C)Cc2cc(O)ccc2N1C,50488447,inactive,3.983802646487561
O=C1CN(CCN2CCOCC2)C(=O)CN1CCC(c1ccccc1)c1ccccc1,50303873,inactive,4.698970004336019
COc1ccccc1C(=O)O[C@H]1CN2Cc3cc4OCOc4cc3[C@]11C=C[C@@H](O)C[C@H]21,51435360,inactive,4.045757490560675
C[C@@]12CCN(Cc3ccccc3)[C@@H]1N(Cc1ccccc1)c1ccc(OC(=O)Nc3ccccc3)cc21,50597944,inactive,4.385841290490825
O=NCc1cc[n+](COCCC#C)cc1,50030724,inactive,4.015472686656207
O=C(NCCCCCc1ccccc1)Oc1ccc(Cn2cc(COc3ccc4ccc(=O)oc4c3)nn2)cc1,50513389,active,6.5934598195660445
COc1cc(O)c2C(=O)OC3(C)C=C(O)C(=O)C(=C3c2c1)c1c(O)c(O)cc(C)c1-c1cc(OC)cc(O)c1C(O)=O,51327875,inactive,4.809668301829708
CC(C)(C)c1cc[n+](C[n+]2ccc(cc2)C(C)(C)C)cc1,50919573,inactive,4.698970004336019
C(N1CCCCC1)c1ccc(cc1)-c1cnc2[nH]c3cnc(cc3c2c1)-c1nnco1,50347474,active,6.346787486224656
COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3cccc(Cl)c3)ccc2CC1=O,51116782,active,10.0
C\C=C(/C)C(=O)N[C@H]1[C@@H](O)C[C@@]2(C)C(CC[C@@H]3[C@@H]2CC[C@]2(C)[C@H](CC=C32)[C@H](C)N(C)C)[C@H]1O,51030670,inactive,4.480001470881152
CCOC(OCC)c1ccc(\C=C\C(=O)\C=C\c2ccc(cc2)C(OCC)OCC)cc1,50109181,inactive,4.256960845195067
COc1cc(\C=C\C(=O)NCC(=O)Nc2ccccc2C)ccc1O,51397294,inactive,4.788612447063141
OC(=O)COc1ccc(cc1)C1CC(=NN1C(=O)c1ccc(Cl)cc1)c1c[nH]c2ccccc12,344003,inactive,4.8735438865681955
CC1=CC2CC(C1)c1c(C2)nc2ccccc2c1NCCCCCCCCCCCCNc1c2CCCCc2nc2cc(Cl)ccc12,50388944,active,8.431798275933005
CN(C)c1ccccc1CNCCCCCCCCNc1c2CCCCc2nc2ccccc12,50954109,active,8.393618634889394
C[C@H](CCC(O)=O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O,50700896,inactive,4.586532587014175
COc1cc(CCCO)cc2C(CO)C(Oc12)c1ccc(O[C@@H]2OC(CO)[C@@H](O)C(O)[C@@H]2O)c(OC)c1,395967,inactive,4.032218091924201
Cc1ccc(cc1)S(=O)(=O)SCc1ccc(F)cc1,51414115,active,6.504455662453552
COc1cc2CC[N+](C)(CCCCCc3cccc(OC)[n+]3C)Cc2cc1OC,51200519,active,6.337242168318426
COC(=O)\C=C\c1ccc(OCCCCCN2CCN(CC(=O)Nc3c4CCCCc4nc4ccccc34)CC2)c(OC)c1,51456053,active,7.2076083105017466
COC(=O)C(=N/Nc1ccccc1)\C(=O)C(F)(F)F,51412357,inactive,4.696803942579511
COC(=O)CNC(=O)c1c[n+](C)c2cccc(OC(=O)N(C)C)c2c1,51101853,active,7.031517051446065
CCCCCCSC(=O)OCC[N+](C)(C)C,50100733,inactive,4.0
Cc1ccccc1NC(=O)Oc1ccc2O[C@H]3OCC[C@@]3(C)c2c1,51506168,active,7.638272163982407
Cc1cc(C)cc(c1)C(O)=O,50983325,active,6.3979400086720375
C[C@@H]1C[C@H]2CC(=O)[C@H]3CCC[N+]4([O-])CCC[C@]2(O)[C@]34C1,51135077,active,6.229147988357855
CC1=CC2CC(C1)c1c(C2)nc2cc(Cl)ccc2c1NCCCCCCCCCCCNC(=O)c1cc(O)c2C(=O)c3c(O)cccc3C(=O)c2c1,50085838,active,7.769551078621726
COc1cc2CO\C(=C/c3cc[n+](Cc4ccc(F)cc4)cc3)C(=O)c2cc1OC,51466277,active,9.823908740944319
CN1CC[C@]2(C)[C@H]1N(C)c1ccc(OC(=O)NC(C)(C)C)cc21,50020572,inactive,4.638272163982407
C[N+]1(Cc2ccccc2)CCC(CCC(=O)c2ccc3OCCCCc3c2)CC1,50736545,active,6.856985199745905
Cc1cccc(C[n+]2ccc(COc3ccc4c(C)cc(=O)oc4c3)cc2)c1,51117361,active,7.075720713938118
CCOP(=O)(OCC)Oc1ccc(cc1)[N+]([O-])=O,50760419,active,8.0
Cc1[n+](C)ccc2c1[nH]c1ccc(O)cc21,50359044,active,6.0
C[N+](C)(C)CCCC=C,50995373,inactive,2.9470000017962272
C(CCCCC[n+]1ccccc1)CCCCC[n+]1cccc2ccccc12,50077056,active,7.769551078621726
CCN(CCCCN1C(=O)c2ccccc2C1=O)Cc1ccccc1OC,50858155,active,6.552841968657781
CC1N([C@@H](Cc2c1[nH]c1ccccc21)C(=O)NCCCCCCNc1c2CCCCc2nc2ccccc12)C(=O)OC(C)(C)C,50367972,active,6.279014255846261
COC(=O)\C=C\C(=O)Nc1cccc(OCCCCSC(=S)N2CCCCC2)c1,51548099,active,6.6777807052660805
Cc1ccc2ccc(CNCCCCCCCCNc3c4CCCCc4nc4ccccc34)c(O)c2n1,50586378,active,9.301029995663981
CCN(CCCCCCNc1c(O)c(Cl)c(N=CCCCCCN(CC)Cc2ccccc2OC)c(O)c1Cl)Cc1ccccc1OC,50848497,active,8.508638306165727
CO[C@H]1CC2N3C[C@H](OC(=O)c4ccc(cc4)[N+]([O-])=O)[C@@]2(C=C1)c1cc2OCOc2cc1C3,51475925,inactive,4.8326826652518236
COc1cc-2c(CC[n+]3cc4c(OC)c(O)ccc4cc-23)cc1O,51575347,inactive,4.7495799976911055
CCCCn1c2ccccc2nc2c1nc(=O)[nH]c2=O,293152,inactive,4.913640169325252
CC(C)c1ccc(cc1)[C@@H]1[C@H]2CSCN2C2(C(=O)c3ccccc3C2=O)[C@]11CSc2ccccc2C1=O,51381711,inactive,4.548213564475709
CCNC(=O)Oc1ccc2N(C)[C@H]3N(C)CC[C@@]3(C)c2c1,50597926,active,7.026872146400302
C(CCCCNc1c2CCCCc2nc2ncccc12)CCCNc1c2CCCCc2nc2ncccc12,50577846,active,8.721246399047171
CON(C)C(=O)Oc1ccc(cc1)-c1cc(=O)c2c(OC(=O)N(C)OC)cc(OC(=O)N(C)OC)cc2o1,51373716,inactive,4.896196279044043
CO[C@@]12C[C@H](O)[C@H](C)[C@@H]3CC(C)(C)CC3=C1C(=O)O[C@@H]2N[C@@]12CC(C)=C[C@@H](Cc3[nH]c(=O)ccc13)\C2=C/C,50237025,active,6.00436480540245
Fc1ccc(cc1)-c1nc(cc2c3ccccc3[nH]c12)C(=O)NCCCCCCNc1c2CCCCc2nc2ccccc12,50367964,active,6.51427857351842
O=C(NP(=O)(N1CCOCC1)N1CCOCC1)c1ccccc1,199295,inactive,2.3819519032879075
C[C@@H]([C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC[C@@H]4C(CC[C@H](N(C)C)C4(C)C)=CC3=CC[C@]12C)N(C)C,50619994,inactive,4.525783735923745
Cc1cccc2sc(NC(=O)CCN3CCN(Cc4ccc(cc4)C(C)(C)C)CC3)nc12,51470081,inactive,4.3979400086720375
COc1ccc2nc3CCCCc3c(N)c2c1,50970563,inactive,4.823908740944319
CCCCCCCCCN(Cc1ccccc1OC)C(=O)CCCCCN(C)Cc1ccc(cc1)-c1ccc(CN(C)CCCCCC(=O)NCc2ccccc2OC)cc1,51032921,inactive,3.979999397807417
COc1cccc(CC2CCN(CCOc3ccc4c(c3)oc(=O)c3ccccc43)CC2)c1,50233753,inactive,4.533132379645891
NC(=O)c1sc(nc1OCCC1CCN(Cc2c(F)cccc2F)CC1)-c1ccnc(NC(=O)C2CC2)c1,51366739,inactive,4.709965388637482
C(CCC[n+]1cccc2ccccc12)CC[n+]1cccc2ccccc12,50630041,inactive,4.6020599913279625
COc1cc(\C=C\C(=O)NCCC2CCN(Cc3ccccc3)CC2)ccc1O,50521864,active,6.4089353929735005
COc1ccc2c(c1)n(CC1CC(=NO1)c1ccccc1)c1c(C)nccc21,51512694,inactive,4.958607314841775
Cc1cc(cc(C)c1O)C1(CCCCC1)c1cc(C)c(O)c(C)c1,50577922,inactive,4.823908740944319
N[C@H](Cc1c[nH]c2ccccc12)C(=O)NCCCCCCNc1c2CCCCc2nc2cc(Cl)ccc12,51283336,active,8.161150909262744
C(CCCCCC[n+]1cccc2ccccc12)CCCCC[n+]1cccc2ccccc12,50630047,active,7.698970004336019
COc1cc2C\C(=C/c3ccc(OCCN[N+]4(C)CCN(CC4)c4ccc(\C=C5/Cc6cc(OC)c(OC)cc6C5=O)cc4)cc3)C(=O)c2cc1OC,51396696,inactive,4.619788758288394
Nc1cc(OCCF)c(cc1Cl)C(=O)CCC1CCN(CC2CCCCC2)CC1,643510,active,6.204119982655925
CCNC(=O)Oc1ccc2CCC(N)c2c1,18030,inactive,4.752026733638194
COCC[N+]1(C)CCC(CCC(=O)c2cc3cc(OC)c(OC)cc3s2)CC1,50736583,active,7.275724130399211
O=C(CCCCN1CCC2C(C1)Nc1ccccc21)Nc1ccc(\C=C2/CCn3c2nc2ccccc2c3=O)cc1,51371628,active,7.008773924307505
Cc1cccc2sc(NC(=O)CCN3CCN(CC3)c3ccncc3)nc12,51470077,inactive,4.73969005420508
CCN(CC)CCCN1CC(=O)N(CC1=O)C1CC1,50303874,inactive,4.698970004336019
NC(=O)c1cc[n+](CCCC[n+]2cccc(NC(=O)\C=N/O)c2)cc1,50508736,inactive,2.8068754016455384
CC1(C)C[C@H](C(CN2C(=O)c3ccccc3C2=O)=NO1)c1ccccc1,50268182,inactive,4.18495382393537
CNc1ccccc1-c1nc(cs1)C(N)=O,50253244,inactive,4.275724130399211
C\C=C(/C)C(=O)NC1=CC[C@]2(C)[C@H]3CC[C@]4(C)[C@H](CCC4[C@@H]3CC[C@H]2C1=O)[C@H](C)N(C)C,51030663,inactive,4.859995049380551
C(c1cccc(C[n+]2ccccc2)c1)[n+]1ccccc1,50564464,inactive,2.6270879970298933
CC1=C[C@H]2[C@H](O)C(=O)[C@H]3CCCN4CCC[C@H]2[C@]34C1,50386423,inactive,4.777283528852417
COc1cc(O)c2NCCc3cc(O)c(O)cc3C(=O)c2c1,51575949,inactive,4.337242168318426
COc1ccc(\C=N\[C@@]23CC(C)=C[C@@H](Cc4[nH]c(=O)ccc24)\C3=C/C)cc1,50544879,active,7.508638306165727
COc1cc2cc(C(=O)CCC3CC[N+](C)(Cc4ccccc4)CC3)n(C)c2cc1OC,50827263,active,6.920818753952375
Oc1cc(N=CCCCCCNCc2nc3ccccc3s2)c(O)cc1NCCCCCCNCc1nc2ccccc2s1,50636586,inactive,4.657577319177793
CCCCCCNC(=O)Oc1ccc2CC3[C@@H](CCN3CCC)c2c1,50059017,active,6.285670240254767
C(N1CCCCC1)c1ccc(cc1)-c1cnc2[nH]c3cnc(cc3c2c1)-c1cncs1,50347473,active,6.304518323509803
Nc1ccc(O)c(CN2CCCCC2)c1,51144724,inactive,3.3410351573355648
COc1ccccc1C(=O)Nc1ccc2CC(=O)N(Cc2c1)C(=O)c1ccccc1OC,51116763,active,10.0
CC(C)C(=O)[C@@]12C3=C(C[C@H](O3)C(C)(C)O)C(=O)[C@@](CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CC[C@H](O)C(C)=C)C2=O,50901803,inactive,4.969805214643249
COc1cc2nc3CC4CC(CC(C)=C4)c3c(N)c2cc1OC,50902696,inactive,4.931814138253838
O=C(Nc1ccc2CC(=O)N(Cc2c1)C(=O)c1ccccc1)c1ccccc1,51116779,active,9.292429823902063
CCCCC1(O)C(C)Cc2c1nc1ccccc1c2N,50578164,inactive,4.040958607678906
CCN(CCCCCOc1cc(O)c2C(=O)CC(Oc2c1)c1ccc(O)cc1)Cc1ccccc1,51545147,active,6.040958607678906
CCN(Cc1ccccc1)Cc1ccc(cc1)-c1cc2cc(OCCNC(=O)\C=C\c3ccc(Cl)c(Cl)c3)ccc2oc1=O,50854604,inactive,3.5734887386354246
CC1Cc2cc3OCOc3cc2C1=O,50012857,active,6.42021640338319
COc1nc(sc1C(=O)NCCCNc1c2CCCCc2nc2ccccc12)-c1ccnc(NC(=O)C2CC2)c1,51134330,active,8.193820026016112
CCCCN(CCC1CCCCCC1)Cc1cc2ccccc2cc1O,51500200,inactive,4.729950356732839
OC1CC(C2CN=Cc3[nH]c4ccccc4c23)n2c1nc1ccccc1c2=O,51474246,inactive,4.3929741215652145
COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4CCCCc4nc4ccccc34)c2c1,51248691,active,10.0
CC(C)(C)c1cc[n+](CCCCC[n+]2ccc(cc2)C(C)(C)C)cc1,50919575,inactive,4.619788758288394
O=C(c1ccccc1)n1cc(C=C2CN(Cc3ccccc3)CCC2=O)c2ccccc12,50192957,inactive,4.154901959985743
CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)OCc1ccccc1,50561677,active,6.6020599913279625
COc1ccccc1C(=O)Nc1ccc2CC(=O)N(Cc2c1)C(=O)c1ccccc1,51116780,active,10.0
CCOC(=O)c1c(C)nc(nc1-c1ccccc1)N1CCN(CC1)S(=O)(=O)c1ccc(NC(C)=O)c(OC)c1,51394051,active,7.102372908709558
N\C(=N/O)c1nc(CCCCCNc2c3CCCCc3nc3ccccc23)ccc1O,50082747,active,6.585026652029182
Fc1ccc(cc1)C(=O)NCCCCNc1c2CCCCc2nc2ccccc12,50653059,active,9.105683937315561
CCN(CCCCCNc1cc(O)c(cc1O)N=CCCCCN(CC)Cc1ccccc1OC)Cc1ccccc1OC,50848477,active,8.619788758288394
COc1cccc(CN(C)CCCOc2ccc3c(c2)oc(=O)c2ccccc32)c1,50233749,inactive,4.679853713888946
CC1(C)CC(=O)C2=C(C1)Nc1nc3CCCCc3c(N)c1[C@H]2c1ccncc1,51182566,active,6.219682687859849
Fc1ccccc1CN1CCC(CC(=O)Nc2n[nH]c3cc(ccc23)-c2cccnc2)CC1,51422163,active,6.1605219526258015
CCN(CCCCCCOc1ccc2c(C)c(C)c(=O)oc2c1)Cc1ccccc1,50351358,active,6.356547323513812
CN(C)CCC[C@]1(OCc2cc(ccc12)-c1nnc([nH]1)-c1cccc(C)c1)c1ccc(F)cc1,50392664,inactive,3.8753979721066614
Clc1ccc2c(NCc3cccnc3)c3CCCCc3nc2c1,354296,active,6.698970004336019
CN1CC[C@]2(C)[C@H]1Nc1ccc(OC(=O)Nc3ccccc3C)cc21,50597930,active,7.3979400086720375
COc1cc2CCN(CCCc3ccc(O)c(CN=O)n3)C(c3ccccc3)c2cc1OC,50975532,inactive,3.585026652029182
Clc1ccc2c(NCCCCCCCNc3c4Cc5ccccc5-c4nc4ccccc34)c3CCCCc3nc2c1,50655747,active,8.958607314841775
Cc1ccc(cc1)[C@H]1C2=C(CC(C)(C)CC2=O)Nc2nc3CCCCc3c(N)c12,51182558,active,6.640164517660112
CN1Cc2cc(O)ccc2N(C)C1c1cc[nH]c1,50488441,inactive,3.935916564036404
CCCN1CCN(CC1)c1nccc(NCc2cccc3ccccc23)n1,50664171,inactive,4.721246399047171
COC(=O)c1c(CCCCCCCCNc2c3CCCCc3nc3cc(Cl)ccc23)cccc1OC,51454036,active,8.602059991327963
CCOc1ccc(Cc2nc3cc(ccc3n2CCCCNc2c3CCCCc3nc3ccccc23)C(=O)N(CC)CC)cc1,51257784,active,7.494850021680094
FC(F)(F)Oc1ccc(CNC2CCN(Cc3ccccc3)C2)cc1,51370614,active,7.236572006437063
Cc1c(C)c2OC(C)(CCc2c(C)c1O)C(=O)NCCNc1c2CCCCc2nc2cc(Cl)ccc12,50439095,active,6.6777807052660805
Fc1ccc(cc1)C(=O)NCCCNc1c2CCCCc2nc2ccccc12,50653058,active,9.092051478387727
C(Nc1ccnc(NC2CCN(Cc3ccccc3)CC2)n1)c1ccccc1,50635783,inactive,4.906578314837765
O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2N(CCCc2c1)c1ccccc1,50578197,active,7.267606240177032
NC(=O)c1sc(nc1OCCNc1c2CCCCc2nc2ccccc12)-c1ccnc(NC(=O)C2CC2)c1,51134332,active,6.522878745280337
CCN(C)C(=O)Oc1cccc2CCC(N(C)CC#C)c12,18112,inactive,3.3575354797578787
Cc1ccc(cc1)S(=O)(=O)SCc1ccc(cc1)C#N,51414118,active,6.707743928643524
Fc1ccc(\C=C2/CN(C[C@@]3(C[C@H]4CCCN4[C@@]33C(=O)Nc4ccccc34)C2=O)C(=O)C[C@H]2C[C@H]3CCCN3[C@]22C(=O)Nc3ccccc23)cc1,51055942,inactive,4.625801742070918
CCCCCCCN(c1ccc(cc1C)-c1ccc(N(CCCCCCC)S(=O)(=O)c2ccccc2)c(C)c1)S(=O)(=O)c1ccccc1,321280,inactive,4.3644157336887694
CCC(CC)n1cc(cn1)C(=O)C(F)(F)F,50424457,active,8.42021640338319
Clc1cccc(CN2CCC(CCC(=O)c3ccc4NCCc4c3)CC2)c1,50578188,active,7.229147988357855
CN1CCc2c(C1)c1cc(C)ccc1n2CCc1ccc(C)nc1,50644513,inactive,4.346787486224656
COc1cccc(c1)C(=O)N1CCN(CC(=O)N2CCN(CCCc3c[nH]c4ccc(F)cc34)CC2)CC1,51397681,inactive,4.7121982700697735
CC(Cc1ccc(O)cc1)C1CCC(C)C(C1)c1ccc(O)cc1,50577910,active,6.2076083105017466
O=C(CCCCN1CCC2C(C1)Nc1ccccc21)Oc1ccc(\C=C2/CCn3c2nc2ccccc2c3=O)cc1,51371631,active,8.958607314841775
C(CCC[n+]1ccccc1)CCC[n+]1ccc2ccccc2c1,50077065,active,6.096910013008056
CCCCCCNC(=O)Oc1ccc2CC3[C@@H](CCN3CC)c2c1,50763676,active,6.681936665037238
CC(C)C(=O)[C@@]12C(=O)C3=C(O[C@@H]([C@H]3O)C(C)(C)O)[C@@](CC=C(C)C)(C[C@H](CC=C(C)C)[C@@]1(C)CCC=C(C)C)C2=O,50901843,inactive,4.731656086048935
COc1ccc(OC)c(CN(C)CCCCCCCOc2ccc3c(c2)oc2ccccc2c3=O)c1,50361421,inactive,3.896196279044043
CC1CCCN(Cc2ccc(CNCCN3CCN=C3C(C#N)C#N)o2)C1,50766747,active,6.431798275933005
C(CCCC[n+]1cccc2ccccc12)CCC[n+]1cccc2ccccc12,50630043,active,7.096910013008056
CCOC(=O)Cc1csc(NC(=O)C[n+]2ccc(\C=N\O)cc2)n1,50387161,inactive,2.643974142806877
CN(C)C(=O)N[C@H]1CCc2ccc(O)cc2C1,50489500,active,6.987162775294828
Clc1ccc2c(NCCCCCCNC(=O)CCc3c[nH]c4ccc(cc34)C#N)c3CCCCc3nc2c1,50577894,active,9.154901959985743
